id;;geslacht;leeftijd;stance;stance_numeriek;oppervlakte;afstand;richting;G_29aug_blok1;M_29aug_blok1;PI_29aug_blok1;PM_29aug_blok1;G_29aug_blok2;M_29aug_blok2;PI_29aug_blok2;PM_29aug_blok2;G_30aug_blok1;M_30aug_blok1;PI_30aug_blok1;PM_30aug_blok1;G_30aug_blok2;M_30aug_blok2;PI_30aug_blok2;PM_30aug_blok2;G_30aug_blok3;M_30aug_blok3;PI_30aug_blok3;PM_30aug_blok3;G_30aug_blok4;M_30aug_blok4;PI_30aug_blok4;PM_30aug_blok4;G_31aug_blok1;M_31aug_blok1;PI_31aug_blok1;PM_31aug_blok1;G_31aug_blok2;M_31aug_blok2;PI_31aug_blok2;PM_31aug_blok2;G_31aug_blok3;M_31aug_blok3;PI_31aug_blok3;PM_31aug_blok3;G_31aug_blok4;M_31aug_blok4;PI_31aug_blok4;PM_31aug_blok4
3251;;Man;45-64 jaar;Negatief;-1;1319827,575;287,942;Zuidwest;43,37320328;51,18530273;0;0;45,9804306;73,69094086;20,69;34;55,72952271;96,69158173;100;52;54,22444153;102,0819778;100;188;54,55636215;103,7735214;100;105;57,68322372;101,4781799;93,91;118;53,20045471;113,8776855;100;53;55,22556305;102,4591599;100;126;58,70875549;111,7148514;100;77;59,46511459;113,9989929;100;83
3254;;Man;65+;Negatief;-1;400,908;389,138;West;44,13588715;46,07131195;0;0;46,1744957;61,78187943;0;0;57,57889557;71,49164581;3,22;7;55,18553925;69,37473297;0,54;23;54,88758087;67,05548859;0,16;6;58,93048477;69,62639618;1,89;32;55,22706604;75,2770462;0,25;2;54,87871552;68,76886749;0,25;4;58,6760025;65,87137604;0,24;10;59,58332443;66,80500031;1,09;10
3256;;Vrouw;45-64 jaar;Positief;1;72635,772;406,577;Noordoost;39,16226959;43,40608215;0;0;44,4600029;93,03218079;0;0;45,04761124;77,29234314;0,18;2;44,76854324;73,87625885;0,19;6;42,9995575;67,67378235;0,08;2;44,50059509;68,62587738;0,04;2;42,92198944;66,03672791;0,03;1;48,59872055;75,41017914;0,41;12;49,05453873;68,690979;0,05;3;50,33690643;70,96477509;0,11;2
3259;;Man;65+;Negatief;-1;3869,234;275,284;Zuid;42,75921631;43,86322784;0;0;45,66926193;59,71749496;0;0;58,78555298;73,91230011;10,32;11;56,56958008;66,62872314;0,27;18;57,87586975;69,39447021;3,9;24;61,41342163;71,37075806;16,43;55;52,66104507;70,84477997;0,11;1;56,73169327;71,30843353;4,78;30;62,48723984;76,33003998;25,31;44;62,7817955;81,33276367;25,34;65
3261;;Vrouw;45-64 jaar;Positief;1;10836,971;38,344;Oost;44,2813797;46,47153473;0;0;45,26221085;69,71815491;0,16;9;82,51530457;96,69158173;100;52;82,80619812;102,0819778;100;167;82,9876709;103,7735214;100;97;84,8921814;101,4781799;84,32937512;5;77,80504608;94,65531921;25,02081599;3;81,97199249;102,4591599;100;98;84,85347748;103,7495804;100;47;85,48387909;103,1501617;100;16
3280;;Man;45-64 jaar;Negatief;-1;8728,016;295,371;Zuidwest;44,20502472;45,29833603;0;0;45,7331543;59,32148743;0;0;60,93871689;75,89258575;0;0;58,80492401;69,04421234;0;0;58,88811493;69,63239288;0;0;62,7747345;73,21273041;0;0;61,30619049;102,5555649;0,083263947;1;59,07042313;72,61270142;0;0;62,71866608;71,20194244;0;0;63,58650208;75,51612091;0;0
3284;;Vrouw;45-64 jaar;Positief;1;7510,82;659,589;Noordoost;42,00839233;43,21506119;0;0;83,43141937;122,8798447;0;0;46,28104782;65,98905182;0,05;1;47,19093704;70,2837677;0,11;5;45,02658081;59,49771881;0;0;47,41996384;56,71624756;0;0;45,29362488;54,66574097;0;0;48,79919052;65,27174377;0,02;1;50,93074036;62,54920578;0;0;52,1558876;61,8511734;0;0
3285;;Vrouw;25-44 jaar;Geen stance;;551,672;228,238;Zuid;44,55102921;45,38417435;0;0;46,3248291;61,6192627;0;0;64,02481079;77,26182556;0;0;61,29339218;70,09360504;0;0;61,44491959;71,49728394;0;0;65,06806183;72,94978333;0;0;57,71691513;79,67376709;0;0;61,40657425;73,50521851;0;0;64,78102112;72,51746368;0;0;65,70211792;79,25646973;0;0
3290;;Vrouw;65+;Negatief;-1;1383,319;254,453;Noordoost;37,7908783;40,89800644;0;0;41,97642899;60,94064331;0;0;45,84865189;74,31207275;0,16;2;44,6309967;65,33289337;0,01;1;43,3698349;63,45154953;0;0;44,98789597;66,40974426;0;0;43,15752411;63,10907745;0;0;49,68467712;71,20415497;0,23;7;49,50452423;65,96678925;0,02;1;51,01799393;69,43894196;0;0
3291;;Man;45-64 jaar;Negatief;-1;1331,713;163,411;Zuid;45,46235657;46,45792389;0;0;48,06103134;69,86521149;0,17;10;69,1472702;82,35732269;32,19;43;63,77282715;74,58937836;35,45;141;63,66115189;74,76286316;28,22;77;67,09210205;76,17909241;65,43;56;59,28415298;75,28748322;9,19;40;63,47019577;76,20348358;21,41;106;66,30913544;75,55164337;44,33;47;67,40274811;90,86437988;52,5;58
